iter	Passed	Remaining
0	224	224587
1	357	178311
2	465	154648
3	604	150555
4	736	146644
5	857	142031
6	955	135496
7	1062	131710
8	1208	133108
9	1335	132206
10	1467	131926
11	1634	134570
12	1734	131695
13	1818	128060
14	1896	124504
15	2006	123424
16	2090	120905
17	2207	120437
18	2291	118329
19	2394	117327
20	2469	115115
21	2559	113762
22	2649	112558
23	2734	111188
24	2821	110048
25	2924	109570
26	2991	107801
27	3059	106205
28	3132	104874
29	3214	103932
30	3291	102885
31	3367	101877
32	3454	101213
33	3522	100094
34	3594	99113
35	3665	98162
36	3733	97177
37	3806	96362
38	3874	95461
39	3942	94627
40	4035	94389
41	4140	94435
42	4250	94594
43	4323	93928
44	4399	93367
45	4492	93165
46	4560	92462
47	4630	91842
48	4700	91233
49	4766	90562
50	4836	89988
51	4945	90152
52	5017	89656
53	5084	89073
54	5154	88560
55	5227	88113
56	5298	87660
57	5366	87160
58	5439	86749
59	5507	86278
60	5573	85801
61	5650	85487
62	5729	85213
63	5804	84897
64	5877	84542
65	5950	84208
66	6016	83784
67	6086	83427
68	6160	83121
69	6231	82792
70	6306	82522
71	6374	82166
72	6445	81843
73	6530	81718
74	6601	81422
75	6670	81099
76	6738	80770
77	6805	80442
78	6875	80157
79	6940	79811
80	7013	79574
81	7083	79296
82	7152	79017
83	7219	78732
84	7292	78499
85	7355	78176
86	7429	77962
87	7495	77681
88	7561	77402
89	7627	77124
90	7695	76874
91	7765	76639
92	7835	76414
93	7905	76191
94	7974	75968
95	8045	75760
96	8118	75580
97	8188	75371
98	8261	75190
99	8336	75031
100	8403	74797
101	8474	74611
102	8540	74378
103	8608	74161
104	8675	73952
105	8741	73725
106	8813	73553
107	8878	73328
108	8943	73104
109	9017	72958
110	9085	72764
111	9153	72575
112	9227	72429
113	9313	72385
114	9415	72455
115	9490	72325
116	9638	72745
117	9724	72683
118	9819	72694
119	9930	72823
120	10062	73099
121	10182	73278
122	10304	73474
123	10414	73571
124	10568	73976
125	10673	74034
126	10819	74370
127	10924	74423
128	11007	74324
129	11085	74188
130	11183	74183
131	11261	74055
132	11336	73902
133	11412	73757
134	11500	73690
135	11592	73643
136	11679	73575
137	11806	73748
138	11935	73929
139	12044	73989
140	12127	73882
141	12210	73780
142	12278	73584
143	12354	73440
144	12438	73342
145	12549	73404
146	12671	73529
147	12773	73533
148	12889	73618
149	12972	73513
150	13052	73389
151	13130	73254
152	13199	73069
153	13270	72903
154	13344	72748
155	13415	72581
156	13492	72446
157	13560	72264
158	13631	72099
159	13697	71910
160	13768	71748
161	13843	71610
162	13914	71451
163	13988	71306
164	14065	71182
165	14141	71049
166	14224	70950
167	14356	71100
168	14440	71005
169	14517	70877
170	14587	70717
171	14659	70568
172	14723	70385
173	14796	70242
174	14876	70131
175	14963	70056
176	15040	69933
177	15111	69783
178	15189	69665
179	15263	69533
180	15332	69376
181	15399	69213
182	15467	69052
183	15542	68926
184	15612	68779
185	15681	68628
186	15757	68507
187	15827	68362
188	15896	68212
189	15974	68100
190	16061	68028
191	16144	67939
192	16223	67836
193	16292	67690
194	16369	67574
195	16432	67408
196	16511	67301
197	16588	67192
198	16676	67126
199	16766	67067
200	16843	66953
201	16914	66821
202	16985	66687
203	17058	66560
204	17147	66500
205	17246	66473
206	17315	66334
207	17385	66198
208	17454	66061
209	17533	65958
210	17606	65835
211	17684	65731
212	17753	65596
213	17827	65480
214	17900	65356
215	17975	65245
216	18041	65098
217	18112	64972
218	18177	64825
219	18251	64709
220	18322	64585
221	18396	64471
222	18466	64343
223	18543	64240
224	18644	64220
225	18723	64122
226	18794	64001
227	18876	63913
228	18950	63802
229	19020	63677
230	19087	63540
231	19162	63432
232	19232	63309
233	19329	63274
234	19398	63149
235	19472	63037
236	19540	62908
237	19617	62808
238	19688	62688
239	19761	62578
240	19838	62478
241	19907	62353
242	19977	62233
243	20048	62117
244	20116	61991
245	20191	61886
246	20264	61776
247	20334	61659
248	20417	61581
249	20490	61471
250	20566	61372
251	20643	61276
252	20711	61152
253	20787	61053
254	20861	60948
255	20948	60880
256	21026	60788
257	21103	60692
258	21186	60615
259	21258	60505
260	21328	60390
261	21402	60286
262	21480	60195
263	21552	60086
264	21630	59994
265	21704	59891
266	21777	59786
267	21850	59681
268	21926	59584
269	21999	59480
270	22072	59374
271	22155	59298
272	22229	59196
273	22301	59091
274	22374	58987
275	22452	58898
276	22530	58806
277	22603	58703
278	22685	58624
279	22758	58522
280	22839	58440
281	22916	58347
282	22992	58252
283	23062	58144
284	23137	58047
285	23219	57966
286	23287	57854
287	23363	57759
